,victim_name,victim_race,victim_gender,lynch_date,year,lynch_location,source,latitude,longitude,search_url
1546,bt garret,white,male,1886-02-08,1886,"paris, lamar county, texas",seguin-rigby,33.6617962,-95.555513,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=bt+garret&andtext=&dateFilterType=yearRange&page=1&sort=date
1547,tom polk,white,male,1886-03-15,1886,"copperas cave, lampasas county, texas",seguin-rigby,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=tom+polk&andtext=&dateFilterType=yearRange&page=1&sort=date
1548,sidney davis,black,male,1886-07-10,1886,"morgan, bosque county, texas",seguin-rigby,32.0161933,-97.6073284,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=sidney+davis&andtext=&dateFilterType=yearRange&page=1&sort=date
1549,porter sorell,black,male,1886-07-20,1886,"luling, caldwell county, texas",seguin-rigby,29.680314,-97.6473265,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=porter+sorell&andtext=&dateFilterType=yearRange&page=1&sort=date
1550,menzel lapour,white,male,1886-01-12,1886,"omaha, colfax county, nebraska",seguin-rigby,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=menzel+lapour&andtext=&dateFilterType=yearRange&page=1&sort=date
1551,henry waldman,white,male,1886-10-13,1886,"monticello, piatt county, illinois",seguin-rigby,40.026295,-88.567956,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=henry+waldman&andtext=&dateFilterType=yearRange&page=1&sort=date
1552,wesley williams,black,male,1886-05-04,1886,"camden, kershaw county, south carolina",tolnay-beck,34.2464886,-80.6070391,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=wesley+williams&andtext=&dateFilterType=yearRange&page=1&sort=date
1553,emmett key,black,male,1886-01-07,1886,"johnsonville, sunflower county, mississippi",tolnay-beck,33.4195636,-90.595368,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=emmett+key&andtext=&dateFilterType=yearRange&page=1&sort=date
1554,joe lang,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joe+lang&andtext=&dateFilterType=yearRange&page=1&sort=date
1555,john money,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+money&andtext=&dateFilterType=yearRange&page=1&sort=date
1556,scott moore,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=scott+moore&andtext=&dateFilterType=yearRange&page=1&sort=date
1557,simon cain,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=simon+cain&andtext=&dateFilterType=yearRange&page=1&sort=date
1558,john gillespie,black,male,1886-03-18,1886,"loudon, loudon county, tennessee",tolnay-beck,35.7410117,-84.336174,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+gillespie&andtext=&dateFilterType=yearRange&page=1&sort=date
1559,joe oleary,black,male,1886-03-21,1886,"horton's ferry, madison county, florida",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joe+oleary&andtext=&dateFilterType=yearRange&page=1&sort=date
1560,lucas nicks,black,male,1886-03-21,1886,"madison county, florida",tolnay-beck,30.4514352,-83.4524524,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=lucas+nicks&andtext=&dateFilterType=yearRange&page=1&sort=date
1561,alexander north,black,male,1886-03-22,1886,"auburn, logan county, kentucky",tolnay-beck,36.8642088,-86.7102735,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=alexander+north&andtext=&dateFilterType=yearRange&page=1&sort=date
1562,hampton wade,black,male,1886-03-22,1886,"auburn, logan county, kentucky",tolnay-beck,36.8642088,-86.7102735,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=hampton+wade&andtext=&dateFilterType=yearRange&page=1&sort=date
1563,jim johnson,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jim+johnson&andtext=&dateFilterType=yearRange&page=1&sort=date
1564,henry shaw,black,male,1886-03-22,1886,"auburn, logan county, kentucky",tolnay-beck,36.8642088,-86.7102735,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=henry+shaw&andtext=&dateFilterType=yearRange&page=1&sort=date
1565,tobe williams,black,male,1886-03-29,1886,"alamo, crockett county, tennessee",tolnay-beck,35.7847949,-89.1172883,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=tobe+williams&andtext=&dateFilterType=yearRange&page=1&sort=date
1566,weakley ridley,black,male,1886-03-29,1886,"alamo, crockett county, tennessee",tolnay-beck,35.7847949,-89.1172883,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=weakley+ridley&andtext=&dateFilterType=yearRange&page=1&sort=date
1567,mc christian,white,male,1886-04-17,1886,"mcdade, bastrop county, texas",tolnay-beck,30.2864972,-97.240054,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=mc+christian&andtext=&dateFilterType=yearRange&page=1&sort=date
1568,andres martinez,white,male,1886-04-19,1886,"collins, nueces county, texas",tolnay-beck,27.6834458,-97.41236155,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=andres+martinez&andtext=&dateFilterType=yearRange&page=1&sort=date
1569,jose maria cadena,white,male,1886-04-19,1886,"collins, nueces county, texas",tolnay-beck,27.6834458,-97.41236155,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jose+maria+cadena&andtext=&dateFilterType=yearRange&page=1&sort=date
1570,otis brown,black,male,1886-04-24,1886,"five mile creek, jefferson county, alabama",tolnay-beck,33.64251714685074,-86.88567564749502,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=otis+brown&andtext=&dateFilterType=yearRange&page=1&sort=date
1571,mateo cadena,white,male,1886-04-26,1886,"benavides, duval county, texas",tolnay-beck,27.5958449,-98.4118298,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=mateo+cadena&andtext=&dateFilterType=yearRange&page=1&sort=date
1572,pedro pena,white,male,1886-04-26,1886,"benavides, duval county, texas",tolnay-beck,27.5958449,-98.4118298,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=pedro+pena&andtext=&dateFilterType=yearRange&page=1&sort=date
1573,fred villerosa,white,male,1886-03-29,1886,"vicksburg, warren county, mississippi",tolnay-beck,32.3528055,-90.8777342,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=fred+villerosa&andtext=&dateFilterType=yearRange&page=1&sort=date
1574,joe burns,black,male,1886-02-18,1886,"martinsburg, berkeley county, west virginia",seguin-rigby,39.4562528,-77.9639604,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joe+burns&andtext=&dateFilterType=yearRange&page=1&sort=date
1575,jim harris,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jim+harris&andtext=&dateFilterType=yearRange&page=1&sort=date
1576,ed brown,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=ed+brown&andtext=&dateFilterType=yearRange&page=1&sort=date
1577,nat forbes,black,male,1886-01-07,1886,"johnsonville, sunflower county, mississippi",tolnay-beck,33.4195636,-90.595368,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=nat+forbes&andtext=&dateFilterType=yearRange&page=1&sort=date
1578,calvin simpson,black,male,1886-01-24,1886,"henderson, henderson county, kentucky",tolnay-beck,37.8367513,-87.5907631,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=calvin+simpson&andtext=&dateFilterType=yearRange&page=1&sort=date
1579,ebenezer fowler,black,male,1886-01-30,1886,"mayersville, issaquena county, mississippi",tolnay-beck,32.9020717,-91.0512171,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=ebenezer+fowler&andtext=&dateFilterType=yearRange&page=1&sort=date
1580,john c wilson,white,male,1886-02-05,1886,"stuart, patrick county, virginia",tolnay-beck,36.6422078,-80.2698215,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+c+wilson&andtext=&dateFilterType=yearRange&page=1&sort=date
1581,rt garrett,white,male,1886-02-08,1886,"paris, lamar county, texas",tolnay-beck,33.6617962,-95.555513,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=rt+garrett&andtext=&dateFilterType=yearRange&page=1&sort=date
1582,john wilson,white,male,1886-02-15,1886,"danbury, stokes county, north carolina",tolnay-beck,36.4093047,-80.2058831,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+wilson&andtext=&dateFilterType=yearRange&page=1&sort=date
1583,george robinson,black,male,1886-02-16,1886,"monroe, ouachita parish, louisiana",tolnay-beck,32.5248665,-92.1801362,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=george+robinson&andtext=&dateFilterType=yearRange&page=1&sort=date
1584,joe james,black,male,1886-02-17,1886,"rockport bridge, copiah county, mississippi",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joe+james&andtext=&dateFilterType=yearRange&page=1&sort=date
1585,french hughes,black,male,1886-03-17,1886,"carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=french+hughes&andtext=&dateFilterType=yearRange&page=1&sort=date
1586,obediah thompson,black,male,1886-03-01,1886,"spartanburg, spartanburg county, south carolina",tolnay-beck,34.9498007,-81.9320157,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=obediah+thompson&andtext=&dateFilterType=yearRange&page=1&sort=date
1587,charles brunson,black,male,1886-03-08,1886,"henney̢ hampton county, south carolina",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=charles+brunson&andtext=&dateFilterType=yearRange&page=1&sort=date
1588,handy woodward,black,male,1886-03-10,1886,"russellville, logan county, kentucky",tolnay-beck,36.8453199,-86.887219,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=handy+woodward&andtext=&dateFilterType=yearRange&page=1&sort=date
1589,thomas oscar polk,white,male,1886-03-15,1886,"copperas cove, lampasas county, texas",tolnay-beck,31.103623,-97.94684998428968,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thomas+oscar+polk&andtext=&dateFilterType=yearRange&page=1&sort=date
1590,amos matthews,black,male,1886-03-17,1886," carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=amos+matthews&andtext=&dateFilterType=yearRange&page=1&sort=date
1591,andrew robinson,black,male,1886-03-17,1886," carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=andrew+robinson&andtext=&dateFilterType=yearRange&page=1&sort=date
1592,charles brown,black,male,1886-03-17,1886," carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=charles+brown&andtext=&dateFilterType=yearRange&page=1&sort=date
1593,coley little,black,male,1886-03-17,1886," carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=coley+little&andtext=&dateFilterType=yearRange&page=1&sort=date
1594,coley thompson,black,male,1886-03-17,1886," carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=coley+thompson&andtext=&dateFilterType=yearRange&page=1&sort=date
1595,william mckinney,black,male,1886-02-19,1886," carrollton, carroll  county, mississippi",tolnay-beck,33.5081773,-89.9203608,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+mckinney&andtext=&dateFilterType=yearRange&page=1&sort=date
1596,meredith jones,black,male,1886-04-28,1886,"auburn, logan county, kentucky",tolnay-beck,36.8642088,-86.7102735,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=meredith+jones&andtext=&dateFilterType=yearRange&page=1&sort=date
1597,thomas true,white,male,1886-04-28,1886,"marion county, west virginia",tolnay-beck,39.5128606,-80.2258567,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thomas+true&andtext=&dateFilterType=yearRange&page=1&sort=date
1598,andrew j mulligan,black,male,1886-11-14,1886,"harrison, boone county, arkansas",tolnay-beck,36.2297936,-93.1076765,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=andrew+j+mulligan&andtext=&dateFilterType=yearRange&page=1&sort=date
1599,fl harris,white,male,1886-10-03,1886,"quincy, gadsden county, florida",tolnay-beck,30.5889265,-84.5762388,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=fl+harris&andtext=&dateFilterType=yearRange&page=1&sort=date
1600,thomas farrar,black,male,1886-10-03,1886,"throckmorton, throckmorton county, texas",tolnay-beck,33.1787153,-99.1775756,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thomas+farrar&andtext=&dateFilterType=yearRange&page=1&sort=date
1601,thomas israel,black,male,1886-10-04,1886,"sylvania, screven county, georgia",tolnay-beck,32.7504441,-81.636776,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thomas+israel&andtext=&dateFilterType=yearRange&page=1&sort=date
1602,reeves smith,black,male,1886-10-18,1886,"mansfield, desoto parish, louisiana",tolnay-beck,32.0218301,-93.7143492,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=reeves+smith&andtext=&dateFilterType=yearRange&page=1&sort=date
1603,james haynes,black,male,1886-10-22,1886,"brownsville, bolivar county, mississippi",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=james+haynes&andtext=&dateFilterType=yearRange&page=1&sort=date
1604,john renen,white,male,1886-10-23,1886,"blountstown, calhoun county, florida",tolnay-beck,30.4435293,-85.0451953,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+renen&andtext=&dateFilterType=yearRange&page=1&sort=date
1605,lot renen,white,male,1886-10-23,1886,"blountstown, calhoun county, florida",tolnay-beck,30.4435293,-85.0451953,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=lot+renen&andtext=&dateFilterType=yearRange&page=1&sort=date
1606,jim petendon,black,male,1886-10-28,1886,"atlanta, cass county, texas",tolnay-beck,33.1162131,-94.1663493,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jim+petendon&andtext=&dateFilterType=yearRange&page=1&sort=date
1607,wm hewey,black,male,1886-10-30,1886,"cold springs, san jacinto county, texas",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=wm+hewey&andtext=&dateFilterType=yearRange&page=1&sort=date
1608,john hart,black,male,1886-11-03,1886,"wetumpka, lee county, alabama",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+hart&andtext=&dateFilterType=yearRange&page=1&sort=date
1609,green gardner,black,male,1886-11-07,1886,"boeuff river swamp, morehouse parish, louisiana",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=green+gardner&andtext=&dateFilterType=yearRange&page=1&sort=date
1610,stephen flowers,black,male,1886-09-20,1886,"centreville, amite county, mississippi",tolnay-beck,31.0771205,-91.0584378,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=stephen+flowers&andtext=&dateFilterType=yearRange&page=1&sort=date
1611,charles dinwiddie,black,male,1886-11-15,1886,"mckenzie, carroll county, tennessee",tolnay-beck,36.1322584,-88.5184356,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=charles+dinwiddie&andtext=&dateFilterType=yearRange&page=1&sort=date
1612,john mckay,white,male,1886-11-28,1886,"caledonia, west carroll parish, louisiana",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+mckay&andtext=&dateFilterType=yearRange&page=1&sort=date
1613,maria rumsey,black,female,1886-11-28,1886,"caledonia, west carroll parish, louisiana",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=maria+rumsey&andtext=&dateFilterType=yearRange&page=1&sort=date
1614,buck hunter,black,male,1886-12-01,1886,"monticello, drew county, arkansas",tolnay-beck,33.6293427,-91.7912327,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=buck+hunter&andtext=&dateFilterType=yearRange&page=1&sort=date
1615,caesar robinson,black,male,1886-12-01,1886,"florence, darlington county, south carolina",tolnay-beck,34.28939457852996,-79.85048917622711,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=caesar+robinson&andtext=&dateFilterType=yearRange&page=1&sort=date
1616,alfred jones,black,male,1886-12-02,1886,"brenham, washington county, texas",tolnay-beck,30.1668828,-96.3977442,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=alfred+jones&andtext=&dateFilterType=yearRange&page=1&sort=date
1617,ephram jones,black,male,1886-12-02,1886,"brenham, washington county, texas",tolnay-beck,30.1668828,-96.3977442,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=ephram+jones&andtext=&dateFilterType=yearRange&page=1&sort=date
1618,shad felder,black,male,1886-12-02,1886,"brenham, washington county, texas",tolnay-beck,30.1668828,-96.3977442,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=shad+felder&andtext=&dateFilterType=yearRange&page=1&sort=date
1619,george parks,black,male,1886-12-10,1886,"ringgold, catoosa county, georgia",tolnay-beck,34.91591,-85.1091173,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=george+parks&andtext=&dateFilterType=yearRange&page=1&sort=date
1620,monroe smith,black,male,1886-12-10,1886,"ringgold, catoosa county, georgia",tolnay-beck,34.91591,-85.1091173,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=monroe+smith&andtext=&dateFilterType=yearRange&page=1&sort=date
1621,wpf sanders,white,male,1886-12-20,1886,"carnesville, franklin county, georgia",tolnay-beck,34.3698266,-83.235155,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=wpf+sanders&andtext=&dateFilterType=yearRange&page=1&sort=date
1622,john elia jr,white,male,1886-12-28,1886,"arcadia, bienville parish, louisiana",tolnay-beck,32.5489683,-92.9217754,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+elia+jr&andtext=&dateFilterType=yearRange&page=1&sort=date
1623,john davis,black,male,1886-11-23,1886,"randolph, bibb county, alabama",tolnay-beck,32.8995691,-86.910823,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+davis&andtext=&dateFilterType=yearRange&page=1&sort=date
1624,daniel odwell,black,male,1886-09-16,1886,"millen, screven county, georgia",tolnay-beck,32.752265883823476,-81.64388019998178,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=daniel+odwell&andtext=&dateFilterType=yearRange&page=1&sort=date
1625,matthew washington,black,male,1886-10-14,1886,"dyersburg, dyer county, tennessee",tolnay-beck,36.0346393,-89.3857496,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=matthew+washington&andtext=&dateFilterType=yearRange&page=1&sort=date
1626,joe jones,black,male,1886-09-09,1886,"waycross, pierce county, georgia",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1886&date2=1887&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joe+jones&andtext=&dateFilterType=yearRange&page=1&sort=date
